   400: >>> E[0:00:00]-R[0:00:01]: Return=     1.167, Steps=24.36, Features = 20
   600: >>> E[0:00:00]-R[0:00:01]: Return=     1.107, Steps=24.58, Features = 20
   800: >>> E[0:00:01]-R[0:00:01]: Return=     1.257, Steps=24.52, Features = 20
  1000: >>> E[0:00:01]-R[0:00:01]: Return=     1.139, Steps=22.96, Features = 20
  1200: >>> E[0:00:01]-R[0:00:01]: Return=     1.314, Steps=27.51, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=     44.28, Steps=170.94, Features = 121
    96: E[0:00:00]-R[0:00:01]: Return=     59.96, Steps=  96, Features = 121
   200: >>> E[0:00:00]-R[0:00:02]: Return=     107.7, Steps=174.1, Features = 121
     0: >>> E[0:00:00]-R[?]: Return=     1.771, Steps=170.94, Features = 121
    44: E[0:00:00]-R[0:00:01]: Return=     1.958, Steps=  44, Features = 121
   200: >>> E[0:00:00]-R[0:00:02]: Return=      1.74, Steps=141.9, Features = 121
   400: >>> E[0:00:00]-R[0:00:02]: Return=     1.964, Steps=38.12, Features = 121
   600: >>> E[0:00:01]-R[0:00:01]: Return=     1.952, Steps=49.72, Features = 121
   800: >>> E[0:00:01]-R[0:00:01]: Return=     1.956, Steps=46.46, Features = 121
  1000: >>> E[0:00:01]-R[0:00:01]: Return=       1.9, Steps=71.86, Features = 121
  1200: >>> E[0:00:01]-R[0:00:01]: Return=     1.934, Steps=57.7, Features = 121
  1400: >>> E[0:00:01]-R[0:00:01]: Return=     1.956, Steps=46.22, Features = 121
  1600: >>> E[0:00:02]-R[0:00:00]: Return=      1.94, Steps=62.06, Features = 121
  1800: >>> E[0:00:02]-R[0:00:00]: Return=     1.948, Steps=54.22, Features = 121
  2000: >>> E[0:00:02]-R[0:00:00]: Return=      1.96, Steps=42.38, Features = 121
Total Experiment Duration 0:00:02
     0: >>> E[0:00:00]-R[?]: Return=     1.771, Steps=170.94, Features = 121
    44: E[0:00:00]-R[0:00:01]: Return=     1.958, Steps=  44, Features = 121
   200: >>> E[0:00:00]-R[0:00:02]: Return=      1.74, Steps=141.9, Features = 121
   400: >>> E[0:00:00]-R[0:00:02]: Return=     1.964, Steps=38.12, Features = 121
     0: >>> E[0:00:00]-R[?]: Return=     1.771, Steps=170.94, Features = 121
    44: E[0:00:00]-R[0:00:01]: Return=     1.958, Steps=  44, Features = 121
   200: >>> E[0:00:00]-R[0:00:02]: Return=      1.74, Steps=141.9, Features = 121
   400: >>> E[0:00:00]-R[0:00:02]: Return=     1.964, Steps=38.12, Features = 121
   600: >>> E[0:00:01]-R[0:00:01]: Return=     1.952, Steps=49.72, Features = 121
     0: >>> E[0:00:00]-R[?]: Return=     1.771, Steps=170.94, Features = 121
    44: E[0:00:00]-R[0:00:01]: Return=     1.958, Steps=  44, Features = 121
   200: >>> E[0:00:00]-R[0:00:02]: Return=      1.74, Steps=141.9, Features = 121
   400: >>> E[0:00:00]-R[0:00:02]: Return=     1.964, Steps=38.12, Features = 121
     0: >>> E[0:00:00]-R[?]: Return=        -1, Steps=1000.0, Features = 2420
     0: >>> E[0:00:00]-R[?]: Return=     1.771, Steps=170.94, Features = 242
     2: >>> E[0:00:00]-R[0:00:01]: Return=     1.804, Steps=157.5, Features = 242
     0: >>> E[0:00:00]-R[?]: Return=     1.771, Steps=170.94, Features = 242
     2: >>> E[0:00:00]-R[0:00:01]: Return=     1.804, Steps=157.5, Features = 242
     4: >>> E[0:00:00]-R[0:00:01]: Return=     1.764, Steps=158.26, Features = 242
     6: >>> E[0:00:00]-R[0:00:01]: Return=     1.768, Steps=163.6, Features = 242
     8: >>> E[0:00:00]-R[0:00:01]: Return=     1.802, Steps=150.32, Features = 242
    10: >>> E[0:00:00]-R[0:00:00]: Return=     1.841, Steps=130.58, Features = 242
    12: >>> E[0:00:01]-R[0:00:00]: Return=     1.802, Steps=139.98, Features = 242
    14: >>> E[0:00:01]-R[0:00:00]: Return=     1.772, Steps=159.54, Features = 242
    16: >>> E[0:00:01]-R[0:00:00]: Return=     1.798, Steps=123.8, Features = 242
    18: >>> E[0:00:01]-R[0:00:00]: Return=     1.847, Steps=114.72, Features = 242
    20: >>> E[0:00:01]-R[0:00:00]: Return=     1.753, Steps=148.5, Features = 242
Total Experiment Duration 0:00:01
     0: >>> E[0:00:00]-R[?]: Return=     1.603, Steps=319.3, Features = 242
     2: >>> E[0:00:00]-R[0:00:01]: Return=     1.571, Steps=341.38, Features = 242
     4: >>> E[0:00:00]-R[0:00:01]: Return=     1.617, Steps=355.14, Features = 242
     0: >>> E[0:00:00]-R[?]: Return=     2.326, Steps=806.88, Features = 242
     0: >>> E[0:00:00]-R[?]: Return=     1.603, Steps=319.3, Features = 242
     0: >>> E[0:00:00]-R[?]: Return=     1.603, Steps=319.3, Features = 242
     0: >>> E[0:00:00]-R[?]: Return=     1.603, Steps=319.3, Features = 242
     0: >>> E[0:00:00]-R[?]: Return=     1.603, Steps=319.3, Features = 242
     0: >>> E[0:00:00]-R[?]: Return=     1.603, Steps=319.3, Features = 242
     4: >>> E[0:00:00]-R[0:00:00]: Return=     1.522, Steps=340.12, Features = 242
     8: >>> E[0:00:00]-R[0:00:00]: Return=     1.713, Steps=268.86, Features = 242
    12: >>> E[0:00:00]-R[0:00:00]: Return=     1.648, Steps=303.9, Features = 242
    16: >>> E[0:00:00]-R[0:00:00]: Return=     1.685, Steps=317.48, Features = 242
    20: >>> E[0:00:00]-R[0:00:00]: Return=     1.676, Steps=305.62, Features = 242
    24: >>> E[0:00:00]-R[0:00:00]: Return=      1.51, Steps=361.84, Features = 242
    28: >>> E[0:00:00]-R[0:00:00]: Return=     1.542, Steps=369.66, Features = 242
     0: >>> E[0:00:00]-R[?]: Return=     1.831, Steps=731.54, Features = 484
     4: >>> E[0:00:00]-R[0:00:00]: Return=     1.977, Steps=665.86, Features = 484
     8: >>> E[0:00:00]-R[0:00:00]: Return=     1.994, Steps=638.6, Features = 484
    12: >>> E[0:00:00]-R[0:00:00]: Return=     1.842, Steps=690.08, Features = 484
    16: >>> E[0:00:00]-R[0:00:00]: Return=     1.912, Steps=660.64, Features = 484
     0: >>> E[0:00:00]-R[?]: Return=     1.886, Steps=696.58, Features = 484
     0: >>> E[0:00:00]-R[?]: Return=    0.9577, Steps=633.84, Features = 242
     0: >>> E[0:00:00]-R[?]: Return=    0.9577, Steps=633.84, Features = 242
     0: >>> E[0:00:00]-R[?]: Return=    0.9577, Steps=633.84, Features = 242
     4: >>> E[0:00:00]-R[0:00:00]: Return=     1.111, Steps=620.78, Features = 242
